output1,output2,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
33.01547,7.276756,1,1,1,-1,-1,1,-1,1,1,1,1,1,1
33.99205,8.076574,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1
27.63718,8.272991,1,1,1,-1,-1,1,1,1,-1,1,1,1,1
34.37063,7.418521,1,1,1,-1,-1,1,1,1,1,1,1,1,1
27.8356,7.937234,1,1,1,-1,-1,1,-1,1,1,1,1,1,1
37.76547,7.700435,1,1,1,-1,-1,1,-1,1,1,1,1,1,1
22.93106,8.260424,1,1,1,-1,-1,1,1,1,-1,1,1,1,1
44.45521,7.722378,1,1,1,-1,-1,1,-1,1,1,1,1,1,1
38.49872,7.825773,1,1,1,-1,-1,1,1,1,1,1,1,1,1
36.82007,7.957709,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1
21.08987,8.204794,1,1,1,-1,-1,1,-1,1,-1,1,1,1,1
26.82825,8.002058,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1
23.82426,7.93634,1,1,1,-1,-1,1,1,1,1,1,1,1,1
33.827,8.113545,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1
37.50825,8.016073,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1
36.31946,8.043473,1,1,1,-1,-1,1,1,1,1,1,1,1,1
19.98224,8.26427,1,1,1,-1,-1,1,1,1,-1,1,1,1,1
29.41602,8.242599,1,1,1,-1,-1,1,1,1,-1,1,1,1,1
34.00135,7.302702,1,1,1,-1,-1,1,-1,1,1,1,1,1,1
35.10236,7.386125,1,1,1,-1,-1,1,1,1,1,1,1,1,1
39.04125,7.804045,1,1,1,-1,-1,1,1,1,1,1,1,1,1
19.29876,7.756361,1,1,1,-1,-1,1,1,-1,1,1,1,1,1
35.61042,8.010373,1,1,1,-1,-1,1,-1,1,1,1,1,1,1
31.92745,7.058374,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1
19.58084,8.31784,1,1,1,-1,-1,1,1,1,-1,1,1,1,1
31.01636,7.029862,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1
44.66572,7.572992,1,1,1,-1,-1,1,1,1,1,1,1,1,1
