o1,o2,o3,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0.183527285,90.95661338,8.154418568,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.141414961,90.99748247,8.224403656,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.130818915,90.7706076,8.360650807,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.202158493,90.76090618,8.436613497,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.159700981,90.47954651,8.572952927,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.159979388,90.56698834,8.626937942,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.122582951,91.42243619,7.69285726,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.184568465,91.199281,7.839472353,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.237395493,91.20517167,7.948891736,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.130713079,91.02671442,8.100859449,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.132623296,91.06356456,8.162530206,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.196993697,90.82659321,8.324682673,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.150240601,90.86897264,8.399482511,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.146514417,90.61727825,8.553681269,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.226442991,90.6076053,8.656881162,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.195818056,90.30473045,8.809422218,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.165701124,90.37271618,8.862135256,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
0.129218041,91.32394772,7.817308041,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.187235092,91.10848513,7.973145977,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.228825919,91.10327916,8.091897066,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.125235891,90.90628744,8.264405131,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.120157205,90.94046965,8.331957712,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.184933809,90.67534951,8.498643302,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.143489339,90.71563042,8.577859485,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.158028015,90.45573752,8.74677787,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.212795156,90.45921596,8.84120592,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.203516747,90.15024927,9.017366084,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.149949625,90.23154053,9.075300298,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1
0.213743629,91.40411096,7.535831516,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.196020344,91.18224058,7.680988241,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.184820472,91.16514842,7.791499516,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.103514912,90.97313141,7.963713459,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.114066495,91.01795235,8.04552465,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.162745104,90.77770552,8.217752029,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.123089708,90.81670286,8.295848492,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.11259968,90.55319261,8.46603209,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.157564996,90.57206927,8.566936004,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.160744554,90.24203551,8.729099474,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.245752008,90.345041,8.79838423,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.186407339,91.27576138,7.321434893,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.157900189,91.04259384,7.484215385,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.211904358,91.02819019,7.587713866,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.088861226,90.82774239,7.765060924,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.104404655,90.86528751,7.836105765,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.149177298,90.62348777,8.021198837,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.111707452,90.66796159,8.103728837,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.126628872,90.38958831,8.281747193,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.143910825,90.39871053,8.35485686,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.178287323,90.09646437,8.515829375,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.181691661,90.20438993,8.585448141,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.37542478,91.2755026,8.705836874,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.532957743,91.04236475,8.655089247,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.451327871,91.02788702,8.603847202,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.349869553,90.82703542,8.56292608,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
